Year,Country_Name,Nombre_País,Cod_Na_UIS,Sex,Sexo,Age,Value
2020,Dominican Republic,República Dominicana,DO,females,Mujeres,10-14,11932
1990,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,15765
1995,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,13690
2000,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,11657
2005,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,11139
2010,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,10520
2015,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,7150
2020,Costa Rica,Costa Rica,CR,females,Mujeres,10-14,9533
1990,El Salvador,El Salvador,SV,females,Mujeres,10-14,2498
1995,El Salvador,El Salvador,SV,females,Mujeres,10-14,1794
2000,El Salvador,El Salvador,SV,females,Mujeres,10-14,1196
2005,El Salvador,El Salvador,SV,females,Mujeres,10-14,1436
2010,El Salvador,El Salvador,SV,females,Mujeres,10-14,1000
2015,El Salvador,El Salvador,SV,females,Mujeres,10-14,544
2020,El Salvador,El Salvador,SV,females,Mujeres,10-14,738
1990,Honduras,Honduras,HN,females,Mujeres,10-14,14311
1995,Honduras,Honduras,HN,females,Mujeres,10-14,7897
2000,Honduras,Honduras,HN,females,Mujeres,10-14,1333
2005,Honduras,Honduras,HN,females,Mujeres,10-14,845
2010,Honduras,Honduras,HN,females,Mujeres,10-14,902
2015,Honduras,Honduras,HN,females,Mujeres,10-14,1345
2020,Honduras,Honduras,HN,females,Mujeres,10-14,2007
1990,Mexico,México,MX,females,Mujeres,10-14,47195
1995,Mexico,México,MX,females,Mujeres,10-14,26564
2000,Mexico,México,MX,females,Mujeres,10-14,24989
2005,Mexico,México,MX,females,Mujeres,10-14,49305
2010,Mexico,México,MX,females,Mujeres,10-14,61078
2015,Mexico,México,MX,females,Mujeres,10-14,95066
2020,Mexico,México,MX,females,Mujeres,10-14,108530
1990,Argentina,Argentina,AR,females,Mujeres,10-14,19204
1995,Argentina,Argentina,AR,females,Mujeres,10-14,28208
2000,Argentina,Argentina,AR,females,Mujeres,10-14,18380
2005,Argentina,Argentina,AR,females,Mujeres,10-14,28690
2010,Argentina,Argentina,AR,females,Mujeres,10-14,28100
2015,Argentina,Argentina,AR,females,Mujeres,10-14,41236
2020,Argentina,Argentina,AR,females,Mujeres,10-14,51939
1990,Brazil,Brasil,BR,females,Mujeres,10-14,6265
1995,Brazil,Brasil,BR,females,Mujeres,10-14,5925
2000,Brazil,Brasil,BR,females,Mujeres,10-14,5562
2005,Brazil,Brasil,BR,females,Mujeres,10-14,7640
2010,Brazil,Brasil,BR,females,Mujeres,10-14,9512
2015,Brazil,Brasil,BR,females,Mujeres,10-14,14609
2020,Brazil,Brasil,BR,females,Mujeres,10-14,36326
1990,Chile,Chile,CL,females,Mujeres,10-14,5681
1995,Chile,Chile,CL,females,Mujeres,10-14,6426
2000,Chile,Chile,CL,females,Mujeres,10-14,8209
2005,Chile,Chile,CL,females,Mujeres,10-14,7733
2010,Chile,Chile,CL,females,Mujeres,10-14,7739
2015,Chile,Chile,CL,females,Mujeres,10-14,12056
2020,Chile,Chile,CL,females,Mujeres,10-14,32222
1990,Colombia,Colombia,CO,females,Mujeres,10-14,8212
1995,Colombia,Colombia,CO,females,Mujeres,10-14,7998
2000,Colombia,Colombia,CO,females,Mujeres,10-14,7787
2005,Colombia,Colombia,CO,females,Mujeres,10-14,5826
2010,Colombia,Colombia,CO,females,Mujeres,10-14,6289
2015,Colombia,Colombia,CO,females,Mujeres,10-14,6670
2020,Colombia,Colombia,CO,females,Mujeres,10-14,78964
1990,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,3478
1995,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,4905
2000,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,6352
2005,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,9614
2010,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,20014
2015,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,19573
2020,Ecuador,Ecuador (el),EC,females,Mujeres,10-14,44491
1990,Guyana,Guyana,GY,females,Mujeres,10-14,242
1995,Guyana,Guyana,GY,females,Mujeres,10-14,337
2000,Guyana,Guyana,GY,females,Mujeres,10-14,432
2005,Guyana,Guyana,GY,females,Mujeres,10-14,359
2010,Guyana,Guyana,GY,females,Mujeres,10-14,196
2015,Guyana,Guyana,GY,females,Mujeres,10-14,109
2020,Guyana,Guyana,GY,females,Mujeres,10-14,640
1990,Paraguay,Paraguay,PY,females,Mujeres,10-14,9645
1995,Paraguay,Paraguay,PY,females,Mujeres,10-14,7706
2000,Paraguay,Paraguay,PY,females,Mujeres,10-14,5885
2005,Paraguay,Paraguay,PY,females,Mujeres,10-14,5097
2010,Paraguay,Paraguay,PY,females,Mujeres,10-14,4410
2015,Paraguay,Paraguay,PY,females,Mujeres,10-14,4100
2020,Paraguay,Paraguay,PY,females,Mujeres,10-14,3623
1990,Peru,Perú,PE,females,Mujeres,10-14,1496
1995,Peru,Perú,PE,females,Mujeres,10-14,1542
2000,Peru,Perú,PE,females,Mujeres,10-14,2011
2005,Peru,Perú,PE,females,Mujeres,10-14,3184
2010,Peru,Perú,PE,females,Mujeres,10-14,3894
2015,Peru,Perú,PE,females,Mujeres,10-14,3183
2020,Peru,Perú,PE,females,Mujeres,10-14,50844
1990,Uruguay,Uruguay,UY,females,Mujeres,10-14,1415
1995,Uruguay,Uruguay,UY,females,Mujeres,10-14,1319
2000,Uruguay,Uruguay,UY,females,Mujeres,10-14,1546
2005,Uruguay,Uruguay,UY,females,Mujeres,10-14,1731
2010,Uruguay,Uruguay,UY,females,Mujeres,10-14,1514
2015,Uruguay,Uruguay,UY,females,Mujeres,10-14,1999
2020,Uruguay,Uruguay,UY,females,Mujeres,10-14,3779
1990,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,830
1995,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,1169
2000,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,1826
2005,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,1794
2010,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,1925
2015,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,1733
2020,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,15-19,1448
1990,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,485
1995,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,672
2000,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,961
2005,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,454
2010,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,133
2015,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,134
2020,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,15-19,97
1990,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,28219
1995,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,30089
2000,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,30953
2005,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,28203
2010,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,35446
2015,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,46447
2020,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,15-19,27179
1990,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,41711
1995,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,36401
2000,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,31084
2005,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,32355
2010,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,33613
2015,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,24500
2020,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,15-19,27641
1990,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,2768
1995,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,3615
2000,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,3615
2005,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,4106
2010,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,3755
2015,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,2807
2020,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,15-19,1529
1990,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,33102
1995,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,18014
2000,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,2678
2005,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,2328
2010,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,1745
2015,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,2473
2020,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,15-19,2746
1990,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,63575
1995,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,50415
2000,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,37023
2005,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,59984
2010,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,86962
2015,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,90409
2020,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,15-19,107421
1990,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,51448
1995,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,62603
2000,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,51967
2005,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,78205
2010,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,85539
2015,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,111145
2020,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,15-19,129990
1990,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,16984
1995,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,14899
2000,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,12814
2005,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,17066
2010,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,21320
2015,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,30075
2020,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,15-19,64909
1990,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,9479
1995,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,14361
2000,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,15093
2005,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,23545
2010,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,19392
2015,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,31793
2020,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,15-19,66351
1990,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,9809
1995,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,10666
2000,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,11525
2005,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,11893
2010,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,13312
2015,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,14733
2020,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,15-19,166013
1990,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,7101
1995,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,9997
2000,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,12838
2005,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,17466
2010,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,35422
2015,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,35476
2020,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,15-19,70731
1990,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,252
1995,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,691
2000,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,1135
2005,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,1153
2010,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,723
2015,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,579
2020,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,15-19,1929
1990,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,23682
1995,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,18995
2000,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,14475
2005,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,12425
2010,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,10625
2015,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,9990
2020,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,15-19,10056
1990,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,3338
1995,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,3190
2000,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,3340
2005,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,4259
2010,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,6917
2015,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,9816
2020,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,15-19,82890
1990,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,2337
1995,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,2225
2000,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,3472
2005,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,3555
2010,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,3215
2015,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,3811
2020,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,15-19,7056
1990,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,396
1995,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,531
2000,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,808
2005,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,854
2010,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,982
2015,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,888
2020,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,15-19,745
1990,Cuba,Cuba,CU,males,Hombres,15-19,226
1995,Cuba,Cuba,CU,males,Hombres,15-19,341
2000,Cuba,Cuba,CU,males,Hombres,15-19,516
2005,Cuba,Cuba,CU,males,Hombres,15-19,241
2010,Cuba,Cuba,CU,males,Hombres,15-19,71
2015,Cuba,Cuba,CU,males,Hombres,15-19,71
2020,Cuba,Cuba,CU,males,Hombres,15-19,51
1990,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,17539
1995,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,18404
2000,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,18682
2005,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,16149
2010,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,19384
2015,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,28809
2020,Dominican Republic,República Dominicana,DO,males,Hombres,15-19,16207
1990,Costa Rica,Costa Rica,CR,males,Hombres,15-19,20839
1995,Costa Rica,Costa Rica,CR,males,Hombres,15-19,18131
2000,Costa Rica,Costa Rica,CR,males,Hombres,15-19,15359
2005,Costa Rica,Costa Rica,CR,males,Hombres,15-19,15602
2010,Costa Rica,Costa Rica,CR,males,Hombres,15-19,15903
2015,Costa Rica,Costa Rica,CR,males,Hombres,15-19,11516
2020,Costa Rica,Costa Rica,CR,males,Hombres,15-19,14307
1990,El Salvador,El Salvador,SV,males,Hombres,15-19,1241
1995,El Salvador,El Salvador,SV,males,Hombres,15-19,1656
2000,El Salvador,El Salvador,SV,males,Hombres,15-19,1677
2005,El Salvador,El Salvador,SV,males,Hombres,15-19,1916
2010,El Salvador,El Salvador,SV,males,Hombres,15-19,1779
2015,El Salvador,El Salvador,SV,males,Hombres,15-19,1336
2020,El Salvador,El Salvador,SV,males,Hombres,15-19,726
1990,Honduras,Honduras,HN,males,Hombres,15-19,14067
1995,Honduras,Honduras,HN,males,Hombres,15-19,7644
2000,Honduras,Honduras,HN,males,Hombres,15-19,1128
2005,Honduras,Honduras,HN,males,Hombres,15-19,1015
2010,Honduras,Honduras,HN,males,Hombres,15-19,793
2015,Honduras,Honduras,HN,males,Hombres,15-19,1128
2020,Honduras,Honduras,HN,males,Hombres,15-19,1250
1990,Mexico,México,MX,males,Hombres,15-19,30915
1995,Mexico,México,MX,males,Hombres,15-19,24540
2000,Mexico,México,MX,males,Hombres,15-19,17469
2005,Mexico,México,MX,males,Hombres,15-19,28426
2010,Mexico,México,MX,males,Hombres,15-19,42125
2015,Mexico,México,MX,males,Hombres,15-19,43405
2020,Mexico,México,MX,males,Hombres,15-19,51954
1990,Argentina,Argentina,AR,males,Hombres,15-19,24407
1995,Argentina,Argentina,AR,males,Hombres,15-19,29354
2000,Argentina,Argentina,AR,males,Hombres,15-19,25122
2005,Argentina,Argentina,AR,males,Hombres,15-19,37501
2010,Argentina,Argentina,AR,males,Hombres,15-19,41653
2015,Argentina,Argentina,AR,males,Hombres,15-19,53650
2020,Argentina,Argentina,AR,males,Hombres,15-19,63779
1990,Brazil,Brasil,BR,males,Hombres,15-19,8027
1995,Brazil,Brasil,BR,males,Hombres,15-19,7220
2000,Brazil,Brasil,BR,males,Hombres,15-19,6382
2005,Brazil,Brasil,BR,males,Hombres,15-19,8622
2010,Brazil,Brasil,BR,males,Hombres,15-19,10974
2015,Brazil,Brasil,BR,males,Hombres,15-19,15387
2020,Brazil,Brasil,BR,males,Hombres,15-19,33744
1990,Chile,Chile,CL,males,Hombres,15-19,4831
1995,Chile,Chile,CL,males,Hombres,15-19,7043
2000,Chile,Chile,CL,males,Hombres,15-19,7490
2005,Chile,Chile,CL,males,Hombres,15-19,11646
2010,Chile,Chile,CL,males,Hombres,15-19,9532
2015,Chile,Chile,CL,males,Hombres,15-19,16569
2020,Chile,Chile,CL,males,Hombres,15-19,32808
1990,Colombia,Colombia,CO,males,Hombres,15-19,4654
1995,Colombia,Colombia,CO,males,Hombres,15-19,5079
2000,Colombia,Colombia,CO,males,Hombres,15-19,5507
2005,Colombia,Colombia,CO,males,Hombres,15-19,5767
2010,Colombia,Colombia,CO,males,Hombres,15-19,6586
2015,Colombia,Colombia,CO,males,Hombres,15-19,7441
2020,Colombia,Colombia,CO,males,Hombres,15-19,78355
1990,Ecuador,Ecuador (el),EC,males,Hombres,15-19,3301
1995,Ecuador,Ecuador (el),EC,males,Hombres,15-19,4859
2000,Ecuador,Ecuador (el),EC,males,Hombres,15-19,6415
2005,Ecuador,Ecuador (el),EC,males,Hombres,15-19,8818
2010,Ecuador,Ecuador (el),EC,males,Hombres,15-19,17969
2015,Ecuador,Ecuador (el),EC,males,Hombres,15-19,18105
2020,Ecuador,Ecuador (el),EC,males,Hombres,15-19,36505
1990,Guyana,Guyana,GY,males,Hombres,15-19,126
1995,Guyana,Guyana,GY,males,Hombres,15-19,351
2000,Guyana,Guyana,GY,males,Hombres,15-19,578
2005,Guyana,Guyana,GY,males,Hombres,15-19,582
2010,Guyana,Guyana,GY,males,Hombres,15-19,377
2015,Guyana,Guyana,GY,males,Hombres,15-19,300
2020,Guyana,Guyana,GY,males,Hombres,15-19,809
1990,Paraguay,Paraguay,PY,males,Hombres,15-19,11900
1995,Paraguay,Paraguay,PY,males,Hombres,15-19,9577
2000,Paraguay,Paraguay,PY,males,Hombres,15-19,7284
2005,Paraguay,Paraguay,PY,males,Hombres,15-19,6286
2010,Paraguay,Paraguay,PY,males,Hombres,15-19,5399
2015,Paraguay,Paraguay,PY,males,Hombres,15-19,5077
2020,Paraguay,Paraguay,PY,males,Hombres,15-19,5136
1990,Peru,Perú,PE,males,Hombres,15-19,1730
1995,Peru,Perú,PE,males,Hombres,15-19,1669
2000,Peru,Perú,PE,males,Hombres,15-19,1635
2005,Peru,Perú,PE,males,Hombres,15-19,2126
2010,Peru,Perú,PE,males,Hombres,15-19,3441
2015,Peru,Perú,PE,males,Hombres,15-19,5167
2020,Peru,Perú,PE,males,Hombres,15-19,43719
1990,Uruguay,Uruguay,UY,males,Hombres,15-19,1149
1995,Uruguay,Uruguay,UY,males,Hombres,15-19,1166
2000,Uruguay,Uruguay,UY,males,Hombres,15-19,1809
2005,Uruguay,Uruguay,UY,males,Hombres,15-19,1837
2010,Uruguay,Uruguay,UY,males,Hombres,15-19,1623
2015,Uruguay,Uruguay,UY,males,Hombres,15-19,1915
2020,Uruguay,Uruguay,UY,males,Hombres,15-19,3600
1990,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,434
1995,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,638
2000,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,1018
2005,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,940
2010,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,943
2015,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,845
2020,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,15-19,703
1990,Cuba,Cuba,CU,females,Mujeres,15-19,259
1995,Cuba,Cuba,CU,females,Mujeres,15-19,331
2000,Cuba,Cuba,CU,females,Mujeres,15-19,445
2005,Cuba,Cuba,CU,females,Mujeres,15-19,213
2010,Cuba,Cuba,CU,females,Mujeres,15-19,62
2015,Cuba,Cuba,CU,females,Mujeres,15-19,63
2020,Cuba,Cuba,CU,females,Mujeres,15-19,46
1990,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,10680
1995,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,11685
2000,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,12271
2005,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,12054
2010,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,16062
2015,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,17638
2020,Dominican Republic,República Dominicana,DO,females,Mujeres,15-19,10972
1990,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,20872
1995,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,18270
2000,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,15725
2005,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,16753
2010,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,17710
2015,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,12984
2020,Costa Rica,Costa Rica,CR,females,Mujeres,15-19,13334
1990,El Salvador,El Salvador,SV,females,Mujeres,15-19,1527
1995,El Salvador,El Salvador,SV,females,Mujeres,15-19,1959
2000,El Salvador,El Salvador,SV,females,Mujeres,15-19,1938
2005,El Salvador,El Salvador,SV,females,Mujeres,15-19,2190
2010,El Salvador,El Salvador,SV,females,Mujeres,15-19,1976
2015,El Salvador,El Salvador,SV,females,Mujeres,15-19,1471
2020,El Salvador,El Salvador,SV,females,Mujeres,15-19,803
1990,Honduras,Honduras,HN,females,Mujeres,15-19,19035
1995,Honduras,Honduras,HN,females,Mujeres,15-19,10370
2000,Honduras,Honduras,HN,females,Mujeres,15-19,1550
2005,Honduras,Honduras,HN,females,Mujeres,15-19,1313
2010,Honduras,Honduras,HN,females,Mujeres,15-19,952
2015,Honduras,Honduras,HN,females,Mujeres,15-19,1345
2020,Honduras,Honduras,HN,females,Mujeres,15-19,1496
1990,Mexico,México,MX,females,Mujeres,15-19,32660
1995,Mexico,México,MX,females,Mujeres,15-19,25875
2000,Mexico,México,MX,females,Mujeres,15-19,19554
2005,Mexico,México,MX,females,Mujeres,15-19,31558
2010,Mexico,México,MX,females,Mujeres,15-19,44837
2015,Mexico,México,MX,females,Mujeres,15-19,47004
2020,Mexico,México,MX,females,Mujeres,15-19,55467
1990,Argentina,Argentina,AR,females,Mujeres,15-19,27041
1995,Argentina,Argentina,AR,females,Mujeres,15-19,33249
2000,Argentina,Argentina,AR,females,Mujeres,15-19,26845
2005,Argentina,Argentina,AR,females,Mujeres,15-19,40704
2010,Argentina,Argentina,AR,females,Mujeres,15-19,43886
2015,Argentina,Argentina,AR,females,Mujeres,15-19,57495
2020,Argentina,Argentina,AR,females,Mujeres,15-19,66211
1990,Brazil,Brasil,BR,females,Mujeres,15-19,8957
1995,Brazil,Brasil,BR,females,Mujeres,15-19,7679
2000,Brazil,Brasil,BR,females,Mujeres,15-19,6432
2005,Brazil,Brasil,BR,females,Mujeres,15-19,8444
2010,Brazil,Brasil,BR,females,Mujeres,15-19,10346
2015,Brazil,Brasil,BR,females,Mujeres,15-19,14688
2020,Brazil,Brasil,BR,females,Mujeres,15-19,31165
1990,Chile,Chile,CL,females,Mujeres,15-19,4648
1995,Chile,Chile,CL,females,Mujeres,15-19,7318
2000,Chile,Chile,CL,females,Mujeres,15-19,7603
2005,Chile,Chile,CL,females,Mujeres,15-19,11899
2010,Chile,Chile,CL,females,Mujeres,15-19,9860
2015,Chile,Chile,CL,females,Mujeres,15-19,15224
2020,Chile,Chile,CL,females,Mujeres,15-19,33543
1990,Colombia,Colombia,CO,females,Mujeres,15-19,5155
1995,Colombia,Colombia,CO,females,Mujeres,15-19,5587
2000,Colombia,Colombia,CO,females,Mujeres,15-19,6018
2005,Colombia,Colombia,CO,females,Mujeres,15-19,6126
2010,Colombia,Colombia,CO,females,Mujeres,15-19,6726
2015,Colombia,Colombia,CO,females,Mujeres,15-19,7292
2020,Colombia,Colombia,CO,females,Mujeres,15-19,87658
1990,Ecuador,Ecuador (el),EC,females,Mujeres,15-19,3800
1995,Ecuador,Ecuador (el),EC,females,Mujeres,15-19,5138
2000,Ecuador,Ecuador (el),EC,females,Mujeres,15-19,6423
2005,Ecuador,Ecuador (el),EC,females,Mujeres,15-19,8648
2010,Ecuador,Ecuador (el),EC,females,Mujeres,15-19,17453
